"time","space","u","f"
0.,0.,0.,0.
0.,0.01,-1.0334765152117974e-19,0.
0.,0.02,-3.246698084253424e-20,0.
0.,0.03,2.424495649035973e-19,0.
0.,0.04,7.512095385848761e-19,0.
0.,0.05,1.5236204930689629e-18,0.
0.,0.06,-2.152202109117446e-19,0.
0.,0.07,4.84114210166709e-20,0.
0.,0.08,4.894987558429852e-19,0.
0.,0.09,8.0664565362493785e-19,0.
0.,0.1,6.984559744202678e-19,0.
0.,0.11,-3.355093980417224e-19,0.
0.,0.12,6.57696119787941e-19,0.
0.,0.13,3.0648816817802074e-18,0.
0.,0.14,6.971312416226288e-18,0.
0.,0.15,1.2462253451417375e-17,0.
0.,0.16,-1.1604915791424193e-19,0.
0.,0.17,-1.237173775165922e-18,0.
0.,0.18,-3.8749646215023035e-18,0.
0.,0.19,-8.541012466670673e-18,0.
0.,0.2,-1.57469080804183e-17,0.
0.,0.21,1.8776091792460593e-18,0.
0.,0.22,5.517364343177173e-18,0.
0.,0.23,1.1260326004958186e-17,0.
0.,0.24,1.944755467775392e-17,0.
0.,0.25,3.0420110874729273e-17,0.
0.,0.26,3.863873497399758e-19,0.
0.,0.27,5.163392147903198e-19,0.
0.,0.28,2.464533053393044e-19,0.
0.,0.29,-5.666726684247912e-19,0.
0.,0.3,-2.066440996313703e-18,0.
0.,0.31,-2.4567781917172335e-18,0.
0.,0.32,-3.66243480442461e-18,0.
0.,0.33,-4.115965693429598e-18,0.
0.,0.34,-4.316366714039664e-18,0.
0.,0.35000000000000003,-4.762633721562273e-18,0.
0.,0.36,-1.934519029610929e-18,0.
0.,0.37,-2.3342657499800413e-18,0.
0.,0.38,-3.927724266426129e-18,0.
0.,0.39,-9.443378684267983e-18,0.
0.,0.4,-2.16097131088244e-17,0.
0.,0.41000000000000003,6.9051481559620875e-19,0.
0.,0.42,3.0438731044600256e-18,0.
0.,0.43,5.8618206516816085e-18,0.
0.,0.44,7.946103242351074e-18,0.
0.,0.45,8.098466661558549e-18,0.
0.,0.46,-4.19813329522217e-19,0.
0.,0.47000000000000003,3.359860597173656e-18,0.
0.,0.48,8.774343209597232e-18,0.
0.,0.49,1.3258955937258208e-17,0.
0.,0.5,1.42490202096662e-17,0.
0.,0.51,-1.3478933043777914e-20,0.
0.,0.52,-3.9644008868280825e-19,0.
0.,0.53,-8.07822953752242e-19,0.
0.,0.54,-9.065670150872302e-19,0.
0.,0.55,-3.516117595229242e-19,0.
0.,0.56,-1.3447655436857917e-18,0.
0.,0.5700000000000001,2.9216432078775794e-18,0.
0.,0.58,1.0243223160343474e-17,0.
0.,0.59,1.8063971219365527e-17,0.
0.,0.6,2.3827884290597133e-17,0.
0.,0.61,-8.584958742081045e-19,0.
0.,0.62,4.0241935565254105e-18,0.
0.,0.63,1.3283826239541147e-17,0.
0.,0.64,2.5556160122179714e-17,0.
0.,0.65,3.94769531517817e-17,0.
0.,0.66,6.201372969247146e-19,0.
0.,0.67,1.6097568164446815e-18,0.
0.,0.68,2.6277980453950522e-18,0.
0.,0.6900000000000001,3.333200470610977e-18,0.
0.,0.7000000000000001,3.3849035789276072e-18,0.
0.,0.71,-2.5866556227239065e-18,0.
0.,0.72,-4.775407313422157e-18,0.
0.,0.73,-7.589436611589298e-18,0.
0.,0.74,-1.2051925056719879e-17,0.
0.,0.75,-1.9186054188308445e-17,0.
0.,0.76,1.891754554368807e-18,0.
0.,0.77,4.124569621902463e-18,0.
0.,0.78,7.039505715765817e-18,0.
0.,0.79,1.0977623349123718e-17,0.
0.,0.8,1.6279983035141014e-17,0.
0.,0.81,-2.9148138627171742e-18,0.
0.,0.8200000000000001,-4.2645207525073745e-18,0.
0.,0.8300000000000001,-5.4938347982262715e-18,0.
0.,0.84,-8.047470128729495e-18,0.
0.,0.85,-1.3370140872872757e-17,0.
0.,0.86,-1.731614066629535e-18,0.
0.,0.87,-4.8843136047792725e-18,0.
0.,0.88,-9.458098614449213e-18,0.
0.,0.89,-1.5452969095639358e-17,0.
0.,0.9,-2.28689250483497e-17,0.
0.,0.91,1.1232672206992137e-18,0.
0.,0.92,1.1522986283278717e-18,0.
0.,0.93,7.69215249215672e-19,0.
0.,0.9400000000000001,6.561381096923135e-19,0.
0.,0.9500000000000001,1.4951882360874922e-18,0.
0.,0.96,-7.838174553853609e-20,0.
0.,0.97,-1.4965806371947132e-19,0.
0.,0.98,-3.843592111252302e-19,0.
0.,0.99,-9.530154443382372e-19,0.
0.,1.,-2.0261570199409167e-18,0.
0.01,0.,-1.4304113449270516e-18,0.
0.01,0.01,-0.00040161342964957307,0.01972297881325772
0.01,0.02,-0.0008022496782913817,0.03942649342761084
0.01,0.03,-0.0012019087459254271,0.05909109885296915
