"time","space","u","f"
0.,0.,0.,0
0.,0.01,-2.8722455238531385e-21,0
0.,0.02,-4.391377160184823e-21,0
0.,0.03,-5.400894475242195e-21,0
0.,0.04,-6.744297035272394e-21,0
0.,0.05,-9.265084406522558e-21,0
0.,0.06,-1.1559953265429846e-20,0
0.,0.07,-2.8684054397983484e-20,0
0.,0.08,-5.105951754170909e-20,0
0.,0.09,-7.837355684065488e-20,0
0.,0.1,-1.1031338643886913e-19,0
0.,0.11,2.4980018054065994e-21,0
0.,0.12,1.4432899320127016e-20,0
0.,0.13,4.2466030691912235e-20,0
0.,0.14,9.32587340685132e-20,0
0.,0.15,1.734723475976806e-19,0
0.,0.16,-1.2351978089768076e-20,0
0.,0.17,-4.3648882555462467e-20,0
0.,0.18,-8.856164287888229e-20,0
0.,0.19,-1.4176118854182698e-19,0
0.,0.2,-1.9791844902609575e-19,0
0.,0.21,2.7963742432746253e-21,0
0.,0.22,-1.128264148775313e-20,0
0.,0.23,-3.690797667488255e-20,0
0.,0.24,-6.875056079991275e-20,0
0.,0.25,-1.0148132334464318e-19,0
0.,0.26,-4.18975535511129e-21,0
0.,0.27,5.570208369259516e-20,0
0.,0.28,1.5593325672762369e-19,0
0.,0.29,2.727615033344781e-19,0
0.,0.3,3.8244456309766425e-19,0
0.,0.31,-1.2091460472082683e-21,0
0.,0.32,1.1650894472024854e-20,0
0.,0.33,3.584139264675492e-20,0
0.,0.34,6.862361956603751e-20,0
0.,0.35000000000000003,1.0725884631892818e-19,0
0.,0.36,-8.760277166658813e-21,0
0.,0.37,2.7776545071388826e-20,0
0.,0.38,8.829418464133985e-20,0
0.,0.39,1.5147635947039117e-19,0
0.,0.4,1.9600678748573978e-19,0
0.,0.41000000000000003,4.113711800507635e-20,0
0.,0.42,1.0775261036411898e-19,0
0.,0.43,2.233543816652225e-19,0
0.,0.44,4.1145033649648066e-19,0
0.,0.45,6.955483794459872e-19,0
0.,0.46,-1.5469939904748966e-20,0
0.,0.47000000000000003,-9.498467588454824e-20,0
0.,0.48,-2.2041878477935645e-19,0
0.,0.49,-3.7364684342913437e-19,0
0.,0.5,-5.365434286738409e-19,0
0.,0.51,-1.6515069962338826e-20,0
0.,0.52,3.846822286118258e-20,0
0.,0.53,1.8093709002516649e-19,0
0.,0.54,4.2687874308421523e-19,0
0.,0.55,7.92280393592931e-19,0
0.,0.56,-6.686957144087395e-20,0
0.,0.5700000000000001,-1.2962025343502736e-19,0
0.,0.58,-2.125505228494349e-19,0
0.,0.59,-3.3995885655107393e-19,0
0.,0.6,-5.361437314069195e-19,0
0.,0.61,-3.9146442705329413e-20,0
0.,0.62,-7.207563647275796e-20,0
0.,0.63,-1.147747928568879e-19,0
0.,0.64,-1.8323112341232158e-19,0
0.,0.65,-2.934318396936613e-19,0
0.,0.66,4.007181046757806e-20,0
0.,0.67,9.168994039125776e-20,0
0.,0.68,1.4419624873463754e-19,0
0.,0.6900000000000001,1.8693259446131593e-19,0
0.,0.7000000000000001,2.0924083653489135e-19,0
0.,0.71,2.3706101766626865e-22,0
0.,0.72,1.1576352281584123e-20,0
0.,0.73,3.4017873791753565e-20,0
0.,0.74,6.756162554817459e-20,0
0.,0.75,1.122076075508472e-19,0
0.,0.76,2.1149685584950967e-20,0
0.,0.77,8.626420294505821e-20,0
0.,0.78,2.060016931167233e-19,0
0.,0.79,3.910202971363477e-19,0
0.,0.8,6.519781560403331e-19,0
0.,0.81,4.5281103802593424e-21,0
0.,0.8200000000000001,1.3974999221704025e-20,0
0.,0.8300000000000001,8.42793683458382e-21,0
0.,0.84,-3.2025806470850795e-20,0
0.,0.85,-1.2729896038435077e-19,0
0.,0.86,4.1473150390803886e-21,0
0.,0.87,1.384574520128657e-20,0
0.,0.88,2.9095290486618543e-20,0
0.,0.89,4.989595089507631e-20,0
0.,0.9,7.624772642665987e-20,0
0.,0.91,2.7457711969945055e-20,0
0.,0.92,4.892021960691426e-20,0
0.,0.93,7.504566394730915e-20,0
0.,0.9400000000000001,1.1649218602753127e-19,0
0.,0.9500000000000001,1.8391792688398212e-19,0
0.,0.96,-4.780897899792086e-21,0
0.,0.97,-1.2226331058684552e-20,0
0.,0.98,-2.5000834735777785e-20,0
0.,0.99,-4.576894419017217e-20,0
0.,1.,-7.719519468096808e-20,0
0.01,0.,-2.198935478148201e-20,0
0.01,0.01,-6.182907994300653e-6,0
0.01,0.02,-0.000012365852841071875,0
