"time","space","u","f"
0.,0.,0.,0.820849986238988
0.,0.01,0.,0.9062728067998388
0.,0.02,0.,0.9985860935030322
0.,0.03,0.,1.0981040403263922
0.,0.04,0.,1.2051271656014937
0.,0.05,0.,1.3199384318783016
0.,0.06,0.,1.4427991674278817
0.,0.07,0.,1.573944821247372
0.,0.08,0.,1.7135805889335742
0.,0.09,0.,1.8618769521930396
0.,0.1,0.,2.0189651799465533
0.,0.11,0.,2.184932843847631
0.,0.12,0.,2.359819405447585
0.,0.13,0.,2.5436119360819465
0.,0.14,0.,2.736241033704081
0.,0.15,0.,2.9375770032353286
0.,0.16,0.,3.14742636842782
0.,0.17,0.,3.3655287836473713
0.,0.18,0.,3.5915544132940456
0.,0.19,0.,3.8251018447178033
0.,0.2,-5.169878828456423e-26,4.065696597405991
0.,0.21,0.,4.3127902868897845
0.,0.22,0.,4.565760496233146
0.,0.23,0.,4.823911401151259
0.,0.24,0.,5.086475186803137
0.,0.25,0.,5.352614285189903
0.,0.26,0.,5.621424451968224
0.,0.27,0.,5.8919386904864375
0.,0.28,0.,6.163132019122896
0.,0.29,0.,6.433927065729561
0.,0.3,0.,6.703200460356392
0.,0.31,0.,6.9697899846687275
0.,0.32,0.,7.232502423798425
0.,0.33,0.,7.490122054026695
0.,0.34,0.,7.741419687922484
0.,0.35000000000000003,0.,7.9851621875937715
0.,0.36,0.,8.220122346781865
0.,0.37,0.,8.445089033860343
0.,0.38,0.,8.65887748059205
0.,0.39,0.,8.860339595928755
0.,0.4,0.,9.048374180359597
0.,0.41000000000000003,0.,9.221936914446081
0.,0.42,0.,9.380049995307294
0.,0.43,0.,9.52181129698505
0.,0.44,0.,9.646402934831231
0.,0.45,0.,9.753099120283327
0.,0.46,0.,9.841273200552852
0.,0.47000000000000003,0.,9.910403787728836
0.,0.48,0.,9.960079893439914
0.,0.49,0.,9.99000499833375
0.,0.5,0.,10.
0.,0.51,0.,9.99000499833375
0.,0.52,0.,9.960079893439914
0.,0.53,0.,9.910403787728836
0.,0.54,0.,9.841273200552852
0.,0.55,0.,9.753099120283327
0.,0.56,0.,9.64640293483123
0.,0.5700000000000001,0.,9.521811296985048
0.,0.58,0.,9.380049995307296
0.,0.59,0.,9.221936914446081
0.,0.6,0.,9.048374180359597
0.,0.61,0.,8.860339595928755
0.,0.62,0.,8.65887748059205
0.,0.63,0.,8.445089033860343
0.,0.64,0.,8.220122346781865
0.,0.65,0.,7.98516218759377
0.,0.66,0.,7.741419687922483
0.,0.67,0.,7.490122054026692
0.,0.68,0.,7.232502423798422
0.,0.6900000000000001,0.,6.969789984668726
0.,0.7000000000000001,0.,6.703200460356391
0.,0.71,0.,6.433927065729563
0.,0.72,0.,6.163132019122896
0.,0.73,0.,5.8919386904864375
0.,0.74,0.,5.621424451968224
0.,0.75,0.,5.352614285189903
0.,0.76,0.,5.086475186803137
0.,0.77,0.,4.823911401151259
0.,0.78,0.,4.565760496233146
0.,0.79,0.,4.3127902868897845
0.,0.8,-5.169878828456423e-26,4.06569659740599
0.,0.81,0.,3.8251018447178025
0.,0.8200000000000001,0.,3.5915544132940447
0.,0.8300000000000001,0.,3.365528783647369
0.,0.84,0.,3.14742636842782
0.,0.85,0.,2.9375770032353286
0.,0.86,0.,2.736241033704081
0.,0.87,0.,2.5436119360819465
0.,0.88,0.,2.359819405447585
0.,0.89,0.,2.184932843847631
0.,0.9,-2.5849394142282115e-26,2.0189651799465533
0.,0.91,0.,1.8618769521930396
0.,0.92,0.,1.7135805889335733
0.,0.93,0.,1.5739448212473708
0.,0.9400000000000001,0.,1.4427991674278808
0.,0.9500000000000001,0.,1.3199384318783012
0.,0.96,0.,1.2051271656014944
0.,0.97,1.2924697071141057e-26,1.0981040403263922
0.,0.98,0.,0.9985860935030322
0.,0.99,0.,0.9062728067998388
0.,1.,0.,0.820849986238988
0.01,0.,0.,0.8183911264141529
0.01,0.01,0.00002147638601862232,0.9035580625318991
0.01,0.02,0.0000374024725586741,0.9955948243696746
0.01,0.03,0.00004935064028419372,1.0948146647358303
0.01,0.04,0.00005861075818487411,1.2015172017579272
0.01,0.05,0.000066216230709565,1.3159845503703393
0.01,0.06,0.00007297004489977529,1.438477256034122
0.01,0.07,0.00007947081752317548,1.5692300624578828
0.01,0.08,0.00008613884220710001,1.708447550574091
0.01,0.09,0.00009324213657204961,1.8562996914105792
0.01,0.1,0.00010092248936519368,2.0129173606714903
0.01,0.11,0.00010922150759387266,2.178387867689058
0.01,0.12,0.00011810666365910042,2.352750555807339
0.01,0.13,0.00012737578771738025,2.535992535089739
0.01,0.14,0.00013697815575615152,2.728044611383765
0.01,0.15,0.00014702821692268877,2.9287774781129494
0.01,0.16,0.00015751196010645245,3.137998238588392
0.01,0.17,0.0001684049047826706,3.355447327042428
0.01,0.18,0.00017968083316164464,3.580795895899143
0.01,0.19,0.00019132895496328181,3.813643734941895
0.01,0.2,0.00020332550539414417,4.053517784966541
0.01,0.21,0.00021564372165103551,4.299871304192397
0.01,0.22,0.00022825423751539982,4.552083740136158
0.01,0.23,0.0002411203577963628,4.80946135285778
0.01,0.24,0.00025420373480307856,5.071238627509086
0.01,0.25,0.0002674627744314941,5.336580505029906
0.01,0.26,0.0002808543316774561,5.604585449744905
0.01,0.27,0.000294328446489936,5.874289361645236
0.01,0.28,0.00030783403080483605,6.144670329446308
0.01,0.29,0.00032131759591891296,6.414654208273198
0.01,0.3,0.0003347245995086621,6.683120993235603
0.01,0.31,0.00034799635120585026,6.948911947429107
0.01,0.32,0.00036107327272238634,7.2108374302660705
0.01,0.33,0.00037389503009952,7.467685359733572
0.01,0.34,0.00038640114002194627,7.718230230437035
0.01,0.35000000000000003,0.00039853023167321124,7.961242598354539
0.01,0.36,0.0004102211847477048,8.195498933329256
0.01,0.37,0.00042141392025972995,8.419791731684999
0.01,0.38,0.000432049514523478,8.632939774163194
0.01,0.39,0.00044207110235116367,8.833798408827509
0.01,0.4,0.00045142434899380913,9.021269734815165
0.01,0.41000000000000003,0.0004600574908246844,9.194312560951248
0.01,0.42,0.0004679215199624101,9.351952013367766
0.01,0.43,0.00047497128805617,9.493288668428896
0.01,0.44,0.0004811673573955577,9.617507091463668
0.01,0.45,0.00048647381375363627,9.72388366801247
0.01,0.46,0.0004908591046807459,9.81179362242806
0.01,0.47000000000000003,0.0004942959018256813,9.880717128619306
0.01,0.48,0.000496765831604017,9.930244429332351
0.01,0.49,0.0004982543153991058,9.960079893439914
0.01,0.5,0.0004987523225979621,9.97004495503373
0.01,0.51,0.0004982543153991058,9.960079893439914
0.01,0.52,0.000496765831604017,9.930244429332351
0.01,0.53,0.0004942959018256813,9.880717128619306
0.01,0.54,0.0004908591046807459,9.81179362242806
0.01,0.55,0.00048647381375363627,9.72388366801247
0.01,0.56,0.0004811673573955577,9.617507091463667
0.01,0.5700000000000001,0.0004749712880561701,9.493288668428896
0.01,0.58,0.0004679215199624104,9.351952013367766
0.01,0.59,0.00046005749082468476,9.194312560951248
0.01,0.6,0.00045142434899380946,9.021269734815165
0.01,0.61,0.00044207110235116383,8.833798408827509
0.01,0.62,0.00043204951452347824,8.632939774163194
0.01,0.63,0.00042141392025973,8.419791731684999
0.01,0.64,0.00041022118474770493,8.195498933329256
0.01,0.65,0.0003985302316732111,7.961242598354536
